,AveragePrice,Total Volume,Mango_4046,Mango_4225,Mango_4770,Small Bags,Large Bags,Total Bags,Anomaly,Anomaly_Score
0,1.49,13227220.0,13418983.0,4580389.0,805821.75,820162.8,19352384.0,20172546.0,0,-0.02271464655915345
1,3.11,10762825.0,20157352.0,7514673.0,3181791.0,2538915.5,13380760.0,15919675.0,0,-0.008991374491117532
2,2.5,4202248.0,16648787.0,18312736.0,4041973.8,17842.51,6715614.0,6733456.5,0,-0.019628244851105592
3,2.12,41961932.0,3933719.0,9824603.0,14913090.0,1197267.1,18700650.0,19897918.0,0,-0.05691655956298669
4,0.88,28965384.0,11825412.0,5804959.0,12106739.0,2132507.5,670139.6,2802647.0,0,-0.052993294707685656
5,0.88,51945548.0,1359485.9,21212778.0,14241656.0,734420.4,3309705.5,4044125.8,0,-0.023710670028228464
6,0.6,6181312.0,5054501.5,14495754.0,7164616.5,2537855.0,9657761.0,12195616.0,0,-0.03275285079039669
7,2.87,9046698.0,3525394.5,18324866.0,2191736.5,1237845.4,5659257.0,6897102.5,0,-0.04445653778457104
8,2.13,19155398.0,6868809.5,557261.5,15600993.0,2327439.2,13947341.0,16274780.0,0,-0.06007644685905522
9,2.43,47870970.0,13895711.0,7717741.0,2720120.5,1345358.8,664010.6,2009369.4,0,-0.04712158072160655
10,0.5,19111712.0,10222867.0,10436975.0,7413745.5,1012573.4,5308029.5,6320603.0,0,-0.07571590046961946
11,3.17,25528526.0,19097186.0,13360090.0,5081151.5,1808224.9,16575234.0,18383458.0,0,-0.03372295800170577
12,2.78,18851984.0,4355090.5,4320647.5,5744809.5,2440181.2,7788549.0,10228730.0,0,-0.05280434772189746
13,1.04,5014549.0,7455570.0,11325264.0,11659850.0,957697.5,3932791.8,4890489.0,0,-0.07477562824407341
14,0.95,58719910.0,6752271.0,15593600.0,3184016.2,2202521.2,10047739.0,12250260.0,0,-0.05018382979756297
15,0.96,34286824.0,4830310.5,7866472.5,8637975.0,1679657.0,7097127.0,8776784.0,0,-0.0897988769593161
16,1.29,49244040.0,20330774.0,15725896.0,12373396.0,964092.4,5472601.5,6436694.0,0,-0.05718261564364502
17,1.91,41151064.0,7926728.5,8862142.0,16833572.0,141290.81,16438745.0,16580036.0,0,-0.05450630477489693
18,1.65,32143838.0,19252758.0,10677295.0,7191840.5,792969.25,16495224.0,17288192.0,0,-0.06580077625897862
19,1.26,5605474.5,7993215.5,3054306.2,6174058.5,2116822.0,8106629.0,10223451.0,0,-0.054555710078811215
20,2.16,40174504.0,4177873.5,14812339.0,7126353.5,242296.52,11699722.0,11942018.0,0,-0.08852668208860465
21,0.83,9711596.0,2440221.8,5100840.0,9702009.0,1457013.5,13924268.0,15381282.0,0,-0.06711114328832979
22,1.26,25901338.0,17513868.0,18851050.0,6065623.5,1303369.8,13637685.0,14941055.0,0,-0.09669331045060575
