sale_date,units_sold
2022-01-01,16
2022-01-02,15
2022-01-03,13
2022-01-04,24
2022-01-05,7
2022-01-06,24
2022-01-07,44
2022-01-08,24
2022-01-09,27
2022-01-10,18
2022-01-11,24
2022-01-12,16
2022-01-13,20
2022-01-14,20
2022-01-15,24
2022-01-16,25
2022-01-17,20
2022-01-18,28
2022-01-19,24
2022-01-20,27
2022-01-21,25
2022-01-22,23
2022-01-23,13
2022-01-24,25
2022-01-25,19
2022-01-26,21
2022-01-27,13
2022-01-28,29
2022-01-29,18
2022-01-30,18
2022-01-31,14
2022-02-01,13
2022-02-02,16
2022-02-03,31
2022-02-04,16
2022-02-05,19
2022-02-06,16
2022-02-07,26
2022-02-08,26
2022-02-09,19
2022-02-10,30
2022-02-11,14
2022-02-12,24
2022-02-13,33
2022-02-14,22
2022-02-15,5
2022-02-16,40
2022-02-17,18
2022-02-18,32
2022-02-19,15
2022-02-20,31
2022-02-21,33
2022-02-22,20
2022-02-23,17
2022-02-24,26
2022-02-25,9
2022-02-26,25
2022-02-27,11
2022-02-28,13
2022-03-01,40
2022-03-02,15
2022-03-03,14
2022-03-04,14
2022-03-05,17
2022-03-06,35
2022-03-07,34
2022-03-08,40
2022-03-09,14
2022-03-10,17
2022-03-11,29
2022-03-12,10
2022-03-13,24
2022-03-14,22
2022-03-15,23
2022-03-16,24
2022-03-17,14
2022-03-18,16
2022-03-19,40
2022-03-20,13
2022-03-21,40
2022-03-22,29
2022-03-23,9
2022-03-24,19
2022-03-25,26
2022-03-26,25
2022-03-27,25
2022-03-28,25
2022-03-29,19
2022-03-30,28
2022-03-31,16
2022-04-01,26
2022-04-02,24
2022-04-03,23
2022-04-04,37
2022-04-05,30
2022-04-06,10
2022-04-07,18
2022-04-08,24
2022-04-09,20
2022-04-10,15
2022-04-11,27
2022-04-12,22
2022-04-13,28
2022-04-14,13
2022-04-15,24
2022-04-16,32
2022-04-17,18
2022-04-18,26
2022-04-19,28
2022-04-20,12
2022-04-21,16
2022-04-22,23
2022-04-23,26
2022-04-24,24
2022-04-25,18
2022-04-26,20
2022-04-27,16
2022-04-28,13
2022-04-29,22
2022-04-30,20
2022-05-01,10
2022-05-02,22
2022-05-03,15
2022-05-04,17
2022-05-05,20
2022-05-06,14
2022-05-07,9
2022-05-08,25
2022-05-09,22
2022-05-10,28
2022-05-11,35
2022-05-12,28
2022-05-13,21
2022-05-14,24
2022-05-15,9
2022-05-16,29
2022-05-17,33
2022-05-18,33
2022-05-19,27
2022-05-20,15
2022-05-21,8
2022-05-22,18
2022-05-23,23
2022-05-24,27
2022-05-25,24
2022-05-26,17
2022-05-27,13
2022-05-28,17
2022-05-29,9
2022-05-30,17
2022-05-31,13
2022-06-01,15
2022-06-02,14
2022-06-03,16
