Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.7554,0.8247,0.7554,0.7522,0.7511,0.4689,0.4727,0.071
Linear Discriminant Analysis,0.7546,0.8246,0.7546,0.7513,0.7495,0.4651,0.4698,0.061
Ridge Classifier,0.7534,0.8246,0.7534,0.7501,0.748,0.4616,0.4669,0.052
Ada Boost Classifier,0.7497,0.8142,0.7497,0.7462,0.7457,0.4576,0.4607,0.178
Gradient Boosting Classifier,0.7491,0.8141,0.7491,0.7456,0.7437,0.4526,0.4576,0.462
Naive Bayes,0.7457,0.8083,0.7457,0.7423,0.7419,0.4499,0.4527,0.057
Random Forest Classifier,0.7426,0.7991,0.7426,0.7388,0.7366,0.4373,0.4427,0.31
Light Gradient Boosting Machine,0.7383,0.8,0.7383,0.7346,0.7341,0.433,0.4361,0.204
SVM - Linear Kernel,0.7316,0.7906,0.7316,0.7277,0.7266,0.4172,0.4209,0.071
Extra Trees Classifier,0.725,0.7788,0.725,0.7199,0.7178,0.3966,0.4024,0.252
K Neighbors Classifier,0.6536,0.657,0.6536,0.6436,0.6446,0.2403,0.2437,0.083
Decision Tree Classifier,0.6463,0.6285,0.6463,0.648,0.6469,0.256,0.2563,0.07
Dummy Classifier,0.6153,0.5,0.6153,0.3786,0.4687,0.0,0.0,0.055
Quadratic Discriminant Analysis,0.516,0.5491,0.516,0.5751,0.4762,0.0708,0.0803,0.061
